kategori,gejala
perut,"Nyeri perut bagian atas, feses berlemak, mual"
kepala,"Demam, sakit tenggorokan, danÂ batuk"
kulit dan kelamin,"Bercak kulit yang mengeras dan mengencang, jari- tangan atau kaki kebiruan, gangguan pencernaan"
pernapasan,"Suara serak, sakit atau kesulitan menelan, benjolan di leher"
infeksi,"Demam, detak jantung yang cepat, peningkatan sel darah putih"
kanker,"Suara serak, sakit atau kesulitan menelan, benjolan di leher"
jantung,"Nyeri dada seperti tertindih atau ditekan, sesak napas, detak jantung cepat"
kanker,"Sakit kepala yang parah, kejang, penglihatan kabur"
infeksi,"Demam, sakit kepala, sulit bernapas, perdarahan"
infeksi,"Sakit saat buang air kecil, rasa gatal pada vagina, keputihan tidak normal dengan warna menyerupai susu"
perut,"Sakit perut atas, perdarahan, anemia"
pernapasan,"Sesak napas, dada sesak, mengi"
kulit dan kelamin,"Rasa sakit atau gatal, bengkak, dan kemerahan di sekitar sengatan"
pernapasan,"Hidung tersumbat, sakit kepala, gelisah"
infeksi,"Sakit di gigi atau gusi, nyeri menyebar ke telinga, rasa sakit memburuk saat berbaring"
jantung,"Kelumpuhan wajah, kebutaan, bicara tidak jelas yang berlangsung selama beberapa menit"
infeksi,"Ruam merah, hidung berair, batuk"
perut,"Kulit dan mata tampak kuning, nyeri perut, urine berwarna gelap"
perut,"Diare, darah atau nanah pada tinja, sakit atau kram perut"
kepala,"Sakit kepala, sensasi tertekan, rasa kakuÂ "
kulit dan kelamin,"Benjolan kemerahan, nyeri, membesar, dan pecah"
perut,"Sakit perut atau kram yang memburuk setelah makan dan mereda sehabis BAB, kembung, diare"
kepala,"Kesulitan berjalan, gangguan berkemih, hilangnya ingatan jangka pendek"
kepala,"Tes darah lengkap, X-ray, MRI"
kulit dan kelamin,"Gatal, luka pada vulva, kulit vagina memerah"
kulit dan kelamin,"Sensasi terbakar saat buang air kecil, bengkak di buah zakar dan lubang penis"
infeksi,"Demam, sakit kepala, nyeri otot"
perut,"Sakit perut kanan atas, nyeri menyebar ke bahu kanan, mual"
pernapasan,"Sesak napas, nyeri dada, batuk"
infeksi,"Nyeri, pembengkakan, kaku pada area punggung atau tulang belakang"
kulit dan kelamin,"Alat kelamin gatal, kemerahan, nyeri"
kanker,"Benjolan di bagian tubuh (seperti mata, leher, dada, lengan, kaki, atau selangkangan), mimisan, sakit kepala"
kulit dan kelamin,"Lebam berwarna kemerahan, biru, atau ungu, nyeri tekan"
pernapasan,"Demam, batuk, sesak napas"
kulit dan kelamin,"Klitoris yang besar sampai menyerupai penis, testis tidak turun dari rongga perut"
kulit dan kelamin,"Bintil bergerombol, lepuh, kerak di area kelamin"
pernapasan,"Hidung tersumbat, sakit kepala, lendir hidung yang mengalir ke bagian belakang tenggorokan"
kepala,"Sakit kepala, perubahan perilaku, kehilangan kesadaran"
perut,"BAB yang sulit dikendalikan, BAB tanpa disadari"
pernapasan,"Batuk selama 8 minggu atau lebih, post nasal drip, hidung tersumbat"
infeksi,"Gatal yang intens pada anus, ruam atau kemerahan di area anus, bisul di area anus"
kepala,"Kehilangan kesadaran,bicara pelo, lemah di salah satu sisi tubuh"
infeksi,"Demam, batuk, sesak napas"
infeksi,"Penurunan berat badan, mengi, batuk darah"
pernapasan,"Sesak, sakit kepala, warna kulit menjadi biru"
