,kategori,gejala,gejala_tokens,gejala_tokens_fdist,gejala_tokens_WSW,gejala_tokens_stemmed
0,perut,atas bagian berlemak feses mual nyeri perut,"['atas', 'bagian', 'berlemak', 'feses', 'mual', 'nyeri', 'perut']",<FreqDist with 7 samples and 7 outcomes>,"['berlemak', 'feses', 'mual', 'nyeri', 'perut']","['lemak', 'feses', 'mual', 'nyeri', 'perut']"
1,kepala,batuk dan demam sakit tenggorokan,"['batuk', 'dan', 'demam', 'sakit', 'tenggorokan']",<FreqDist with 5 samples and 5 outcomes>,"['batuk', 'demam', 'tenggorokan']","['batuk', 'demam', 'tenggorok']"
2,kulit dan kelamin,atau bercak dan gangguan jari kaki kebiruan kulit mengencang mengeras pencernaan tangan yang,"['atau', 'bercak', 'dan', 'gangguan', 'jari', 'kaki', 'kebiruan', 'kulit', 'mengencang', 'mengeras', 'pencernaan', 'tangan', 'yang']",<FreqDist with 13 samples and 13 outcomes>,"['bercak', 'gangguan', 'jari', 'kaki', 'kebiruan', 'kulit', 'mengencang', 'mengeras', 'pencernaan', 'tangan']","['bercak', 'ganggu', 'jari', 'kaki', 'biru', 'kulit', 'encang', 'keras', 'cerna', 'tangan']"
3,pernapasan,atau benjolan di kesulitan leher menelan sakit serak suara,"['atau', 'benjolan', 'di', 'kesulitan', 'leher', 'menelan', 'sakit', 'serak', 'suara']",<FreqDist with 9 samples and 9 outcomes>,"['benjolan', 'kesulitan', 'leher', 'menelan', 'serak', 'suara']","['benjol', 'sulit', 'leher', 'tel', 'serak', 'suara']"
4,infeksi,cepat darah demam detak jantung peningkatan putih sel yang,"['cepat', 'darah', 'demam', 'detak', 'jantung', 'peningkatan', 'putih', 'sel', 'yang']",<FreqDist with 9 samples and 9 outcomes>,"['cepat', 'darah', 'demam', 'detak', 'jantung', 'peningkatan', 'putih', 'sel']","['cepat', 'darah', 'demam', 'detak', 'jantung', 'tingkat', 'putih', 'sel']"
5,kanker,atau benjolan di kesulitan leher menelan sakit serak suara,"['atau', 'benjolan', 'di', 'kesulitan', 'leher', 'menelan', 'sakit', 'serak', 'suara']",<FreqDist with 9 samples and 9 outcomes>,"['benjolan', 'kesulitan', 'leher', 'menelan', 'serak', 'suara']","['benjol', 'sulit', 'leher', 'tel', 'serak', 'suara']"
6,jantung,atau cepat dada detak ditekan jantung napas nyeri seperti sesak tertindih,"['atau', 'cepat', 'dada', 'detak', 'ditekan', 'jantung', 'napas', 'nyeri', 'seperti', 'sesak', 'tertindih']",<FreqDist with 11 samples and 11 outcomes>,"['cepat', 'dada', 'detak', 'ditekan', 'jantung', 'napas', 'nyeri', 'sesak', 'tertindih']","['cepat', 'dada', 'detak', 'tekan', 'jantung', 'napas', 'nyeri', 'sesak', 'tindih']"
7,kanker,kabur kejang kepala parah penglihatan sakit yang,"['kabur', 'kejang', 'kepala', 'parah', 'penglihatan', 'sakit', 'yang']",<FreqDist with 7 samples and 7 outcomes>,"['kabur', 'kejang', 'kepala', 'parah', 'penglihatan']","['kabur', 'kejang', 'kepala', 'parah', 'lihat']"
8,infeksi,bernapas demam kepala perdarahan sakit sulit,"['bernapas', 'demam', 'kepala', 'perdarahan', 'sakit', 'sulit']",<FreqDist with 6 samples and 6 outcomes>,"['bernapas', 'demam', 'kepala', 'perdarahan', 'sulit']","['napas', 'demam', 'kepala', 'darah', 'sulit']"
9,infeksi,air buang dengan gatal kecil keputihan menyerupai normal pada rasa saat sakit susu tidak vagina warna,"['air', 'buang', 'dengan', 'gatal', 'kecil', 'keputihan', 'menyerupai', 'normal', 'pada', 'rasa', 'saat', 'sakit', 'susu', 'tidak', 'vagina', 'warna']",<FreqDist with 16 samples and 16 outcomes>,"['air', 'buang', 'gatal', 'keputihan', 'menyerupai', 'normal', 'susu', 'vagina', 'warna']","['air', 'buang', 'gatal', 'putih', 'rupa', 'normal', 'susu', 'vagina', 'warna']"
10,perut,anemia atas perdarahan perut sakit,"['anemia', 'atas', 'perdarahan', 'perut', 'sakit']",<FreqDist with 5 samples and 5 outcomes>,"['anemia', 'perdarahan', 'perut']","['anemia', 'darah', 'perut']"
11,pernapasan,dada mengi napas sesak,"['dada', 'mengi', 'napas', 'sesak']",<FreqDist with 4 samples and 4 outcomes>,"['dada', 'mengi', 'napas', 'sesak']","['dada', 'mengi', 'napas', 'sesak']"
12,kulit dan kelamin,atau bengkak dan di gatal kemerahan rasa sakit sekitar sengatan,"['atau', 'bengkak', 'dan', 'di', 'gatal', 'kemerahan', 'rasa', 'sakit', 'sekitar', 'sengatan']",<FreqDist with 10 samples and 10 outcomes>,"['bengkak', 'gatal', 'kemerahan', 'sengatan']","['bengkak', 'gatal', 'merah', 'sengat']"
13,pernapasan,gelisah hidung kepala sakit tersumbat,"['gelisah', 'hidung', 'kepala', 'sakit', 'tersumbat']",<FreqDist with 5 samples and 5 outcomes>,"['gelisah', 'hidung', 'kepala', 'tersumbat']","['gelisah', 'hidung', 'kepala', 'sumbat']"
14,infeksi,atau berbaring di gigi gusi ke memburuk menyebar nyeri rasa saat sakit telinga,"['atau', 'berbaring', 'di', 'gigi', 'gusi', 'ke', 'memburuk', 'menyebar', 'nyeri', 'rasa', 'saat', 'sakit', 'telinga']",<FreqDist with 13 samples and 13 outcomes>,"['berbaring', 'gigi', 'gusi', 'memburuk', 'menyebar', 'nyeri', 'telinga']","['baring', 'gigi', 'gusi', 'buruk', 'sebar', 'nyeri', 'telinga']"
15,jantung,beberapa berlangsung bicara jelas kebutaan kelumpuhan menit selama tidak wajah yang,"['beberapa', 'berlangsung', 'bicara', 'jelas', 'kebutaan', 'kelumpuhan', 'menit', 'selama', 'tidak', 'wajah', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['bicara', 'kebutaan', 'kelumpuhan', 'menit', 'wajah']","['bicara', 'buta', 'lumpuh', 'menit', 'wajah']"
16,infeksi,batuk berair hidung merah ruam,"['batuk', 'berair', 'hidung', 'merah', 'ruam']",<FreqDist with 5 samples and 5 outcomes>,"['batuk', 'berair', 'hidung', 'merah', 'ruam']","['batuk', 'air', 'hidung', 'merah', 'ruam']"
17,perut,berwarna dan gelap kulit kuning mata nyeri perut tampak urine,"['berwarna', 'dan', 'gelap', 'kulit', 'kuning', 'mata', 'nyeri', 'perut', 'tampak', 'urine']",<FreqDist with 10 samples and 10 outcomes>,"['berwarna', 'gelap', 'kulit', 'kuning', 'mata', 'nyeri', 'perut', 'urine']","['warna', 'gelap', 'kulit', 'kuning', 'mata', 'nyeri', 'perut', 'urine']"
18,perut,atau darah diare kram nanah pada perut sakit tinja,"['atau', 'darah', 'diare', 'kram', 'nanah', 'pada', 'perut', 'sakit', 'tinja']",<FreqDist with 9 samples and 9 outcomes>,"['darah', 'diare', 'kram', 'nanah', 'perut', 'tinja']","['darah', 'diare', 'kram', 'nanah', 'perut', 'tinja']"
19,kepala,kaku kepala rasa sakit sensasi tertekan,"['kaku', 'kepala', 'rasa', 'sakit', 'sensasi', 'tertekan']",<FreqDist with 6 samples and 6 outcomes>,"['kaku', 'kepala', 'sensasi', 'tertekan']","['kaku', 'kepala', 'sensasi', 'tekan']"
20,kulit dan kelamin,benjolan dan kemerahan membesar nyeri pecah,"['benjolan', 'dan', 'kemerahan', 'membesar', 'nyeri', 'pecah']",<FreqDist with 6 samples and 6 outcomes>,"['benjolan', 'kemerahan', 'membesar', 'nyeri', 'pecah']","['benjol', 'merah', 'besar', 'nyeri', 'pecah']"
21,perut,atau bab dan diare kembung kram makan memburuk mereda perut sakit sehabis setelah yang,"['atau', 'bab', 'dan', 'diare', 'kembung', 'kram', 'makan', 'memburuk', 'mereda', 'perut', 'sakit', 'sehabis', 'setelah', 'yang']",<FreqDist with 14 samples and 14 outcomes>,"['bab', 'diare', 'kembung', 'kram', 'makan', 'memburuk', 'mereda', 'perut', 'sehabis']","['bab', 'diare', 'kembung', 'kram', 'makan', 'buruk', 'reda', 'perut', 'habis']"
22,kepala,berjalan berkemih gangguan hilangnya ingatan jangka kesulitan pendek,"['berjalan', 'berkemih', 'gangguan', 'hilangnya', 'ingatan', 'jangka', 'kesulitan', 'pendek']",<FreqDist with 8 samples and 8 outcomes>,"['berjalan', 'berkemih', 'gangguan', 'hilangnya', 'ingatan', 'jangka', 'kesulitan', 'pendek']","['jalan', 'kemih', 'ganggu', 'hilang', 'ingat', 'jangka', 'sulit', 'pendek']"
23,kepala,darah lengkap mri ray tes ,"['darah', 'lengkap', 'mri', 'ray', 'tes']",<FreqDist with 5 samples and 5 outcomes>,"['darah', 'lengkap', 'mri', 'ray', 'tes']","['darah', 'lengkap', 'mri', 'ray', 'tes']"
24,kulit dan kelamin,gatal kulit luka memerah pada vagina vulva,"['gatal', 'kulit', 'luka', 'memerah', 'pada', 'vagina', 'vulva']",<FreqDist with 7 samples and 7 outcomes>,"['gatal', 'kulit', 'luka', 'memerah', 'vagina', 'vulva']","['gatal', 'kulit', 'luka', 'merah', 'vagina', 'vulva']"
25,kulit dan kelamin,air bengkak buah buang dan di kecil lubang penis saat sensasi terbakar zakar,"['air', 'bengkak', 'buah', 'buang', 'dan', 'di', 'kecil', 'lubang', 'penis', 'saat', 'sensasi', 'terbakar', 'zakar']",<FreqDist with 13 samples and 13 outcomes>,"['air', 'bengkak', 'buah', 'buang', 'lubang', 'penis', 'sensasi', 'terbakar', 'zakar']","['air', 'bengkak', 'buah', 'buang', 'lubang', 'penis', 'sensasi', 'bakar', 'zakar']"
26,infeksi,demam kepala nyeri otot sakit,"['demam', 'kepala', 'nyeri', 'otot', 'sakit']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'kepala', 'nyeri', 'otot']","['demam', 'kepala', 'nyeri', 'otot']"
27,perut,atas bahu kanan ke menyebar mual nyeri perut sakit,"['atas', 'bahu', 'kanan', 'ke', 'menyebar', 'mual', 'nyeri', 'perut', 'sakit']",<FreqDist with 9 samples and 9 outcomes>,"['bahu', 'kanan', 'menyebar', 'mual', 'nyeri', 'perut']","['bahu', 'kanan', 'sebar', 'mual', 'nyeri', 'perut']"
28,pernapasan,batuk dada napas nyeri sesak,"['batuk', 'dada', 'napas', 'nyeri', 'sesak']",<FreqDist with 5 samples and 5 outcomes>,"['batuk', 'dada', 'napas', 'nyeri', 'sesak']","['batuk', 'dada', 'napas', 'nyeri', 'sesak']"
29,infeksi,area atau belakang kaku nyeri pada pembengkakan punggung tulang,"['area', 'atau', 'belakang', 'kaku', 'nyeri', 'pada', 'pembengkakan', 'punggung', 'tulang']",<FreqDist with 9 samples and 9 outcomes>,"['area', 'kaku', 'nyeri', 'pembengkakan', 'punggung', 'tulang']","['area', 'kaku', 'nyeri', 'bengkak', 'punggung', 'tulang']"
30,kulit dan kelamin,alat gatal kelamin kemerahan nyeri,"['alat', 'gatal', 'kelamin', 'kemerahan', 'nyeri']",<FreqDist with 5 samples and 5 outcomes>,"['alat', 'gatal', 'kelamin', 'kemerahan', 'nyeri']","['alat', 'gatal', 'kelamin', 'merah', 'nyeri']"
31,kanker,atau bagian benjolan dada di kaki kepala leher lengan mata mimisan sakit selangkangan seperti tubuh,"['atau', 'bagian', 'benjolan', 'dada', 'di', 'kaki', 'kepala', 'leher', 'lengan', 'mata', 'mimisan', 'sakit', 'selangkangan', 'seperti', 'tubuh']",<FreqDist with 15 samples and 15 outcomes>,"['benjolan', 'dada', 'kaki', 'kepala', 'leher', 'lengan', 'mata', 'mimisan', 'selangkangan', 'tubuh']","['benjol', 'dada', 'kaki', 'kepala', 'leher', 'lengan', 'mata', 'mimisan', 'selangkang', 'tubuh']"
