,kategori,penyakit,gejala,gejala_tokens,gejala_tokens_fdist,gejala_tokens_WSW,gejala_tokens_stemmed
0,infeksi,Abses Gigi,atau berbaring di gigi gusi ke memburuk menyebar nyeri rasa saat sakit telinga,"['atau', 'berbaring', 'di', 'gigi', 'gusi', 'ke', 'memburuk', 'menyebar', 'nyeri', 'rasa', 'saat', 'sakit', 'telinga']",<FreqDist with 13 samples and 13 outcomes>,"['berbaring', 'gigi', 'gusi', 'memburuk', 'menyebar', 'nyeri', 'telinga']","['baring', 'gigi', 'gusi', 'buruk', 'sebar', 'nyeri', 'telinga']"
1,infeksi,Abses Hati Piogenik,atas demam kanan muntah nyeri perut,"['atas', 'demam', 'kanan', 'muntah', 'nyeri', 'perut']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'kanan', 'muntah', 'nyeri', 'perut']","['demam', 'kanan', 'muntah', 'nyeri', 'perut']"
2,infeksi,Abses Payudara,bengkak dari keluar nanah nyeri payudara,"['bengkak', 'dari', 'keluar', 'nanah', 'nyeri', 'payudara']",<FreqDist with 6 samples and 6 outcomes>,"['bengkak', 'nanah', 'nyeri', 'payudara']","['bengkak', 'nanah', 'nyeri', 'payudara']"
3,infeksi,Adenoiditis,mengorok sakit sengau suara tenggorokan,"['mengorok', 'sakit', 'sengau', 'suara', 'tenggorokan']",<FreqDist with 5 samples and 5 outcomes>,"['mengorok', 'sengau', 'suara', 'tenggorokan']","['orok', 'sengau', 'suara', 'tenggorok']"
4,infeksi,Aktinomikosis,abses dan di infeksi jaringan kerusakan lokasi pada parut pembengkakan peradangan terbentuknya,"['abses', 'dan', 'di', 'infeksi', 'jaringan', 'kerusakan', 'lokasi', 'pada', 'parut', 'pembengkakan', 'peradangan', 'terbentuknya']",<FreqDist with 12 samples and 12 outcomes>,"['abses', 'infeksi', 'jaringan', 'kerusakan', 'lokasi', 'parut', 'pembengkakan', 'peradangan', 'terbentuknya']","['abses', 'infeksi', 'jaring', 'rusa', 'lokasi', 'parut', 'bengkak', 'adang', 'bentuk']"
5,infeksi,Aktinomikosis Paru,dada demam kelelahan nyeri terasa,"['dada', 'demam', 'kelelahan', 'nyeri', 'terasa']",<FreqDist with 5 samples and 5 outcomes>,"['dada', 'demam', 'kelelahan', 'nyeri']","['dada', 'demam', 'lelah', 'nyeri']"
6,infeksi,Antraks,demam gangguan mual pernapasan,"['demam', 'gangguan', 'mual', 'pernapasan']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'gangguan', 'mual', 'pernapasan']","['demam', 'ganggu', 'mual', 'napas']"
7,infeksi,Anus Gatal,anus area atau bisul di gatal intens kemerahan pada ruam yang,"['anus', 'area', 'atau', 'bisul', 'di', 'gatal', 'intens', 'kemerahan', 'pada', 'ruam', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['anus', 'area', 'bisul', 'gatal', 'intens', 'kemerahan', 'ruam']","['anus', 'area', 'bisul', 'gatal', 'intens', 'merah', 'ruam']"
8,infeksi,Askariasis,dan darah diare disertai mual muntah perut sakit,"['dan', 'darah', 'diare', 'disertai', 'mual', 'muntah', 'perut', 'sakit']",<FreqDist with 8 samples and 8 outcomes>,"['darah', 'diare', 'disertai', 'mual', 'muntah', 'perut']","['darah', 'diare', 'serta', 'mual', 'muntah', 'perut']"
9,infeksi,Aspergillosis,badan batuk berat darah mengi penurunan,"['badan', 'batuk', 'berat', 'darah', 'mengi', 'penurunan']",<FreqDist with 6 samples and 6 outcomes>,"['badan', 'batuk', 'berat', 'darah', 'mengi', 'penurunan']","['badan', 'batuk', 'berat', 'darah', 'mengi', 'turun']"
10,infeksi,Bakteremia,cepat darah demam detak jantung peningkatan putih sel yang,"['cepat', 'darah', 'demam', 'detak', 'jantung', 'peningkatan', 'putih', 'sel', 'yang']",<FreqDist with 9 samples and 9 outcomes>,"['cepat', 'darah', 'demam', 'detak', 'jantung', 'peningkatan', 'putih', 'sel']","['cepat', 'darah', 'demam', 'detak', 'jantung', 'tingkat', 'putih', 'sel']"
11,infeksi,Botulisme,kelopak kesulitan lemah mata menelan terkulai wajah,"['kelopak', 'kesulitan', 'lemah', 'mata', 'menelan', 'terkulai', 'wajah']",<FreqDist with 7 samples and 7 outcomes>,"['kelopak', 'kesulitan', 'lemah', 'mata', 'menelan', 'terkulai', 'wajah']","['kelopak', 'sulit', 'lemah', 'mata', 'tel', 'kulai', 'wajah']"
12,infeksi,Bronkiolitis,batuk bernapas serak sulit,"['batuk', 'bernapas', 'serak', 'sulit']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'bernapas', 'serak', 'sulit']","['batuk', 'napas', 'serak', 'sulit']"
13,infeksi,Brucellosis,demam kehilangan makan meriang nafsu,"['demam', 'kehilangan', 'makan', 'meriang', 'nafsu']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'kehilangan', 'makan', 'meriang', 'nafsu']","['demam', 'hilang', 'makan', 'meriang', 'nafsu']"
14,infeksi,Campak,batuk demam kulit ruam,"['batuk', 'demam', 'kulit', 'ruam']",<FreqDist with 4 samples and 4 outcomes>,"['batuk', 'demam', 'kulit', 'ruam']","['batuk', 'demam', 'kulit', 'ruam']"
15,infeksi,Chikungunya,demam nyeri otot sendi,"['demam', 'nyeri', 'otot', 'sendi']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'nyeri', 'otot', 'sendi']","['demam', 'nyeri', 'otot', 'sendi']"
16,infeksi,Coccidioidomycosis,atau batuk berdahak berdarah dan kelelahan kepala lemas sakit,"['atau', 'batuk', 'berdahak', 'berdarah', 'dan', 'kelelahan', 'kepala', 'lemas', 'sakit']",<FreqDist with 9 samples and 9 outcomes>,"['batuk', 'berdahak', 'berdarah', 'kelelahan', 'kepala', 'lemas']","['batuk', 'dahak', 'darah', 'lelah', 'kepala', 'lemas']"
17,infeksi,Cytomegalovirus (CMV),demam kelelahan kelenjar pembesaran,"['demam', 'kelelahan', 'kelenjar', 'pembesaran']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'kelelahan', 'kelenjar', 'pembesaran']","['demam', 'lelah', 'kelenjar', 'besar']"
18,infeksi,Demam Berdarah Dengue,dan demam kepala nyeri otot sakit sendi tulang,"['dan', 'demam', 'kepala', 'nyeri', 'otot', 'sakit', 'sendi', 'tulang']",<FreqDist with 8 samples and 8 outcomes>,"['demam', 'kepala', 'nyeri', 'otot', 'sendi', 'tulang']","['demam', 'kepala', 'nyeri', 'otot', 'sendi', 'tulang']"
19,infeksi,Demam Kelenjar,demam kelelahan nyeri tenggorokan,"['demam', 'kelelahan', 'nyeri', 'tenggorokan']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'kelelahan', 'nyeri', 'tenggorokan']","['demam', 'lelah', 'nyeri', 'tenggorok']"
20,infeksi,Demam Kuning,kepala nyeri otot sakit sendi,"['kepala', 'nyeri', 'otot', 'sakit', 'sendi']",<FreqDist with 5 samples and 5 outcomes>,"['kepala', 'nyeri', 'otot', 'sendi']","['kepala', 'nyeri', 'otot', 'sendi']"
21,infeksi,Demam Lassa,bernapas demam kepala perdarahan sakit sulit,"['bernapas', 'demam', 'kepala', 'perdarahan', 'sakit', 'sulit']",<FreqDist with 6 samples and 6 outcomes>,"['bernapas', 'demam', 'kepala', 'perdarahan', 'sulit']","['napas', 'demam', 'kepala', 'darah', 'sulit']"
22,infeksi,Demam Rematik,dada demam nyeri sendi,"['dada', 'demam', 'nyeri', 'sendi']",<FreqDist with 4 samples and 4 outcomes>,"['dada', 'demam', 'nyeri', 'sendi']","['dada', 'demam', 'nyeri', 'sendi']"
